Date,Visitor,AG,Home,HG
2018-12-04,Arizona Coyotes,2,Los Angeles Kings,1
2018-12-04,Ottawa Senators,2,Montreal Canadiens,5
2018-12-04,Winnipeg Jets,3,New York Islanders,1
2018-12-04,Colorado Avalanche,3,Pittsburgh Penguins,6
2018-12-04,Minnesota Wild,3,Vancouver Canucks,2
2018-12-04,Washington Capitals,3,Vegas Golden Knights,5
2018-12-05,Chicago Blackhawks,2,Anaheim Ducks,4
2018-12-05,Carolina Hurricanes,1,San Jose Sharks,5
2018-12-05,Edmonton Oilers,3,St. Louis Blues,2
2018-12-06,Washington Capitals,4,Arizona Coyotes,2
2018-12-06,Minnesota Wild,0,Calgary Flames,2
2018-12-06,Colorado Avalanche,5,Florida Panthers,2
2018-12-06,New Jersey Devils,6,Los Angeles Kings,3
2018-12-06,Montreal Canadiens,5,Ottawa Senators,2
2018-12-06,Columbus Blue Jackets,4,Philadelphia Flyers,3
2018-12-06,New York Islanders,2,Pittsburgh Penguins,6
2018-12-06,Boston Bruins,2,Tampa Bay Lightning,3
2018-12-06,Detroit Red Wings,5,Toronto Maple Leafs,4
2018-12-06,Nashville Predators,3,Vancouver Canucks,5
2018-12-06,Chicago Blackhawks,3,Vegas Golden Knights,4
2018-12-07,Carolina Hurricanes,4,Anaheim Ducks,1
2018-12-07,San Jose Sharks,2,Dallas Stars,3
2018-12-07,Minnesota Wild,2,Edmonton Oilers,7
2018-12-07,St. Louis Blues,1,Winnipeg Jets,0
2018-12-08,San Jose Sharks,5,Arizona Coyotes,3
2018-12-08,Toronto Maple Leafs,3,Boston Bruins,6
2018-12-08,Philadelphia Flyers,6,Buffalo Sabres,2
2018-12-08,Washington Capitals,4,Columbus Blue Jackets,0
2018-12-08,Nashville Predators,2,Calgary Flames,5
2018-12-08,New York Islanders,3,Detroit Red Wings,2
2018-12-08,New York Rangers,5,Florida Panthers,4
2018-12-08,Vegas Golden Knights,1,Los Angeles Kings,5
2018-12-08,Pittsburgh Penguins,1,Ottawa Senators,2
2018-12-08,Colorado Avalanche,1,Tampa Bay Lightning,7
2018-12-09,New Jersey Devils,5,Anaheim Ducks,6
2018-12-09,Montreal Canadiens,3,Chicago Blackhawks,2
2018-12-09,Calgary Flames,0,Edmonton Oilers,1
2018-12-09,Boston Bruins,2,Ottawa Senators,1
2018-12-09,Vancouver Canucks,6,St. Louis Blues,1
2018-12-09,Dallas Stars,2,Vegas Golden Knights,4
